Employer name (English) / 僱主名稱 (英文) ,Employer name (Chinese) / 僱主名稱 (中文) ,Wage subsidy amount (June ‐ August 2020) / 工資補貼金額 (2020年6月至8月) ,Committed headcount under payroll / 
,,,
,,,承諾受薪僱員人數 
,,,
,,,
ADHK CONSULTING LIMITED ,,"27,000.00",1
,,,
ADJUVANT HONG KONG COMPANY LIMITED ,,"135,000.00",5
,,,
ADLY DEVELOPMENT LTD. ,愛得利發展有限公司 ,"81,000.00",3
,,,
ADMARK ASIA (HONG KONG) LIMITED ,,"216,000.00",10
,,,
ADMETUS INDUSTRIAL (H.K.) LTD. ,宏基實業(香港)有限公司 ,"54,000.00",2
,,,
ADNOVATOR COMMUNICATIONS LIMITED ,先行傳播有限公司 ,"27,000.00",1
,,,
ADP GLOBAL EXPRESS CO. LTD. ,,"109,500.00",4
,,,
ADRIAN CONSTRUCTION LIMITED ,毅源建築有限公司 ,"400,821.00",17
,,,
ADRIANSE GROUP LIMITED ,,"189,000.00",7
,,,
ADSMART HONG KONG LIMITED ,,"182,823.00",7
,,,
ADSON GROUP LIMITED ,雅迅集團有限公司 ,"103,500.00",4
,,,
ADTECH IT SERVICES CO LTD ,,"81,000.00",3
,,,
ADV. PRODUCTION LIMITED ,,"19,500.00",1
,,,
ADVANCE AUTO PARTS LTD. ,駿業汽車材料有限公司 ,"78,150.00",3
,,,
ADVANCE CHANCE LIMITED ,,"27,000.00",1
,,,
ADVANCE CONCRETE DRILL CUT COMPANY LIMITED ,先進混凝土鑽切有限公司 ,"1,330,836.00",110
,,,
ADVANCE COURT OVERSEAS EMPLOYMENT CO ,華都藝舍海外僱傭公司 ,"60,957.00",3
,,,
ADVANCE EQUIPMENT LIMITED ,領先科儀有限公司 ,"73,350.00",3
,,,
ADVANCE HERO ENTERPRISES LIMITED ,進傑企業有限公司 ,"64,950.00",3
,,,
ADVANCE HONG KONG COMPANY LIMITED ,俊展香港有限公司 ,"27,000.00",1
,,,
ADVANCE INSURANCE MANAGEMENT LIMITED ,創匯保險管理有限公司 ,"135,000.00",4
,,,
ADVANCE LINKING LIMITED ,恆誠有限公司 ,"27,000.00",1
,,,
ADVANCE MANAGEMENT LIMITED ,先進管理有限公司 ,"69,912.00",3
,,,
ADVANCE MULTIMEDIA COMPANY LIMITED ,力天多媒體有限公司 ,"898,686.00",36
,,,
ADVANCE SECRETARIES LIMITED ,先進秘書有限公司 ,"23,646.00",2
,,,
ADVANCE SMART INTERNATIONAL LIMITED ,先駿國際有限公司 ,"172,950.00",7
,,,
ADVANCE SOFTWARE LIMITED ,凌厲科技有限公司 ,"27,000.00",1
,,,
ADVANCE TECHNOLOGY & SERVICE GROUP (ASIA) LIMITED ,,"27,000.00",1
,,,
ADVANCE THERMO CONTROL LTD ,,"295,092.00",15
,,,
ADVANCE TRAVEL LTD ,瀛灃旅遊有限公司 ,"42,000.00",3
,,,
ADVANCE TWO LIMITED ,,"42,750.00",2
,,,
ADVANCED AVIONICS LTD. ,,"272,394.00",15
,,,
ADVANCED CHEMICAL FLOOR ENGINEERING CO ,先進化工地板工程公司 ,"30,000.00",3
,,,
ADVANCED CHEMICALS LTD ,先進化工有限公司 ,"27,000.00",1
,,,
ADVANCED CIRCUIT TECHNOLOGY LTD. ,晉升科技有限公司 ,"34,500.00",2
,,,
ADVANCED CONSTRUCTION INFORMATION DEVELOPMENT LIMITED ,,"254,313.00",10
,,,
ADVANCED FINISHING SYSTEMS (HK) LIMITED ,好利印科技(香港)有限公司 ,"270,000.00",10
,,,
ADVANCED LINUX DESIGN LIMITED ,互聯設計有限公司 ,"90,900.00",4
,,,
ADVANCED MOULDING PRODUCTION LIMITED ,威士達五金電子製品有限公司,"108,000.00",4
,,,
ADVANCEMENT INTERNATIONAL LIMITED ,雋星國際有限公司 ,"54,000.00",2
,,,
ADVANCING (ASIA) MANAGEMENT LIMITED ,啟程(亞洲)管理有限公司 ,"81,000.00",3
,,,
ADVANEX (HK) LIMITED ,邁進精密(香港)有限公司 ,"54,000.00",2
,,,
ADVANTA INNOVATIONS LIMITED ,,"27,000.00",1
,,,
ADVANTAGE DIGITAL LIMITED ,先進數碼電子有限公司 ,"64,500.00",3
,,,
ADVANTAGE ENGINEERING (AE) LIMITED ,盈信(設造)有限公司 ,"34,500.00",2
,,,
ADVANTAGE PROPERTY CONSULTANT LIMITED ,實利地產顧問有限公司 ,"42,450.00",2
,,,
ADVANTAGE TRANSPORTATION (HK) LIMITED ,盈豐貨運(香港)有限公司 ,"54,000.00",2
,,,
ADVANTEK SERUM LABORATORIES LIMITED ,,"185,625.00",7
,,,
ADVENT CORPORATE FINANCE LIMITED ,,"321,000.00",12
,,,
ADVENTURE SPORTS ACADEMY LIMITED ,,"204,000.00",9
,,,
ADVICE SURVEYORS LIMITED ,策略測量師行有限公司 ,"18,000.00",1
,,,
ADVISORY ACCESS LIMITED ,,"27,000.00",1
,,,
ADVOKATE LIMITED ,互達控股有限公司 ,"108,000.00",3
,,,
ADVOKATFIRMAN ODEBJER FOHLIN ,鄔博律師事務所 ,"21,000.00",1
,,,
AE CARGO SERVICES LTD ,華商國際貨運有限公司 ,"864,000.00",31
,,,
AE FASHION WHOLESALE CO. ,,"81,000.00",3
,,,
AE GROUP INTERNATIONAL LIMITED ,東盛科技國際有限公司 ,"54,000.00",2
,,,
AE MOTORS COMPANY LIMITED ,,"20,700.00",3
,,,
AE SECURITY SEALS LIMITED ,,"27,000.00",1
,,,
AECOR PRODUCTION LIMITED ,杰.作工作室有限公司 ,"261,750.00",10
,,,
AECS INTERNATIONAL LIMITED ,安美國際有限公司 ,"18,750.00",1
,,,
AEDAS GRAPHICS LIMITED ,,"108,000.00",4
,,,
AEDAS INTERIORS LIMITED ,凱達室內設計有限公司 ,"1,998,000.00",75
,,,
AEDAS RETAIL LIMITED ,凱達商業設計有限公司 ,"243,000.00",8
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
AEDAS URBAN DESIGN & LANDSCAPE LIMITED ,凱達城市規劃及園景設計有限公司,"324,000.00",11
,,,
AEG APPAREL LIMITED ,萬怡泰有限公司 ,"54,000.00",2
,,,
AEGIR TRADING COMPANY LIMITED ,,"27,000.00",1
,,,
AEGIS ACCOUNTING AND SECRETARIAL SERVICES LIMITED ,駿安會計及秘書服務有限公司,"81,000.00",4
,,,
AEGIS PR LIMITED ,訊念有限公司 ,"27,000.00",1
,,,
AEL‐BERKMAN FORWARDING (HK) LIMITED ,中荷貨運代理有限公司 ,"135,000.00",5
,,,
AEP INTERNATIONAL LIMITED ,安伊比國際有限公司 ,"24,000.00",2
,,,
AERION LIMITED ,,"243,000.00",9
,,,
AERO LEADER (H.K.) LIMITED ,般利達(香港)有限公司 ,"27,000.00",1
,,,
AERO LEADER INTERNATIONAL LTD. ,航利達國際有限公司 ,"266,550.00",10
,,,
AEROBAG COMPANY LIMITED ,展圖箱包有限公司 ,"130,500.00",5
,,,
AEROLATTE BUSINESS JET SOLUTIONS LIMITED ,翱天商務航空有限公司 ,"81,000.00",3
,,,
AERO‐LINK CARGO LIMITED ,佳迅聯運有限公司 ,"108,000.00",4
,,,
AERON PACIFICA LIMITED ,,"51,228.00",2
,,,
AESI (HK) LIMITED ,光一系統(香港)有限公司 ,"197,259.00",8
,,,
AESMEDIC CLINIC LIMITED ,艾思美醫學中心有限公司 ,"196,476.00",47
,,,
AESTHETIC BUSINESS CONSULTANCY LIMITED ,冠瀾國際有限公司 ,"27,000.00",1
,,,
AETERNA DIAMOND LIMITED ,富興鑽石有限公司 ,"54,000.00",2
,,,
"AETOS MARKET SERVICES CO., LIMITED ",艾拓思市場服務有限公司 ,"71,550.00",3
,,,
AEVITAS SECURITIES LIMITED ,大錦證券有限公司 ,"135,000.00",5
,,,
AEX SHIPPING (HK) LIMITED ,亞洲環球物流有限公司 ,"42,000.00",2
,,,
AF EDUCATION LIMITED ,泓智教育有限公司 ,"54,000.00",2
,,,
AF ENTERPRISES LIMITED ,綽鋮企業有限公司 ,"54,000.00",2
,,,
AFASIA GROUP LIMITED ,,"54,000.00",2
,,,
AFFETTO MUSIC GROUP LIMITED ,,"35,619.00",2
,,,
AFFINIS ASIA LIMITED ,薈萃亞洲有限公司 ,"27,000.00",1
,,,
AFFINITY COMPANY ,緣貿公司 ,"13,557.00",1
,,,
AFFINITY GROUP LTD ,企匯有限公司 ,"78,000.00",3
,,,
AFFINITY MIGRATION (INTERNATIONAL) LIMITED ,澳恒移民(國際)有限公司 ,"214,314.00",8
,,,
AFFLATUS HAIR WORKSHOP COMPANY LIMITED ,,"54,000.00",2
,,,
AFFLUENCE ACCOUNT SERVICES LIMITED ,志潔會計服務有限公司 ,"27,000.00",1
,,,
AFFLUENT VIEW LIMITED ,星順有限公司 ,"311,700.00",15
,,,
AFFLUX SECURITIES LIMITED ,上高證券有限公司 ,"183,000.00",7
,,,
AFM LIMITED ,,"277,884.00",9
,,,
A‐FONTANE ADVERTISING COMPANY ,雅芳婷廣告公司 ,"162,000.00",5
,,,
AFRICA COFFEE AND TEA LIMITED ,,"150,015.00",6
,,,
AFRICA GEMS STONE (HK) LIMITED ,,"183,000.00",9
,,,
AG PEACE CARING COMPANY LIMITED ,銀寧愛心有限公司 ,"22,500.00",1
,,,
AGAMATRIX MEDICAL DEVICES LIMITED ,安格醫療器材有限公司 ,"243,000.00",9
,,,
AGATHA ASIA‐PACIFIC LIMITED ,,"416,100.00",13
,,,
AGATHON FINE ART STUDIO ,,"27,000.00",1
,,,
AGENT OF CHANGE COMPANY LIMITED ,加油香港企業有限公司 ,"60,000.00",3
,,,
AGENT OF CHANGE FOUNDATION LIMITED ,加油香港基金有限公司 ,"145,146.00",10
,,,
AGENTS DESIGN COMPANY LTD ,藝城工程顧問有限公司 ,"102,087.00",5
,,,
AGG E‐SOLUTION LIMITED ,,"27,000.00",1
,,,
AGGLO CORP LTD ,協友洋行有限公司 ,"305,916.00",12
,,,
AGGRESSIVE CONSTRUCTION COMPANY LIMITED ,精進建築有限公司 ,"14,890,071.00",577
,,,
AGILE TRAVEL COMPANY LIMITED ,駿德旅運有限公司 ,"27,000.00",1
,,,
AGILITY GOODS AND SERVICE CO. LIMITED ,逸雅商品及服務有限公司 ,"54,000.00",2
,,,
A‐GOK (HK) LIMITED ,雅閣香港有限公司 ,"57,000.00",3
,,,
AGORA ADVERTISING LIMITED ,,"75,750.00",3
,,,
AGORA CONSULTANCY LIMITED ,毅傑顧問有限公司 ,"54,000.00",2
,,,
AGORA GROUP LIMITED ,,"96,000.00",3
,,,
AGREE FASHION ,愛你時裝 ,"50,118.00",3
,,,
AGRICARE (HONG KONG) LIMITED ,寶卡益(香港)有限公司 ,"27,000.00",1
,,,
AGS CONSULTANTS INTERNATIONAL LIMITED ,雅仕建築顧問國際有限公司,"108,000.00",4
,,,
AH CHAU PLASTIC & MOULD MANUFACTORY LIMITED ,亞洲塑膠公模製品有限公司,"223,350.00",11
,,,
AH LOK COMPANY LIMITED ,雅樂行有限公司 ,"81,000.00",3
,,,
AH SHAN HOSTEL LIMITED ,阿山龍祥旅館有限公司 ,"49,200.00",3
,,,
AHE CREATION LIMITED ,豐盛創意有限公司 ,"258,648.00",12
,,,
AHEAD GLOBAL LIMITED ,遠景環球有限公司 ,"2,443,815.00",141
,,,
AHEAD PRODUCTS MANUFACTORY LTD ,景太實業有限公司 ,"15,900.00",2
,,,
AH‐HA COMPANY LIMITED ,維訊發展有限公司 ,"81,000.00",3
,,,
AHIMSA TRADING COMPANY LIMITED ,,"68,250.00",3
,,,
AHL PROJECT MANAGEMENT (INT'L) CO. LIMITED ,藝建工程顧問(國際)有限公司 ,"132,000.00",5
,,,
AHT INTERNATIONAL LIMITED ,,"170,700.00",8
,,,
AI CONSULTANTS INTERNATIONAL COMPANY LIMITED ,富保顧問國際有限公司 ,"105,750.00",5
,,,
AI MOMENTUM LIMITED ,智能動力服務有限公司 ,"327,600.00",14
,,,
AIA UNION MEDICAL CENTRE LIMITED ,友安醫療有限公司 ,"265,992.00",10
,,,
AIB INSURANCE BROKERS LTD ,永泰保險經理有限公司 ,"49,050.00",2
,,,
AID PARTNERS CAPITAL LIMITED ,,"84,000.00",4
,,,
AIGNITER TECHNOLOGIES LIMITED ,,"312,264.00",19
,,,
AIKO PRODUCTS LIMITED ,艾科產品有限公司 ,"27,000.00",1
,,,
AIM CAPITAL CONSORTIUM LIMITED ,,"27,000.00",1
,,,
AIM PLUS INTERNATIONAL LTD ,安百國際有限公司 ,"95,910.00",5
,,,
AIM SYSTEM LIMITED ,毅進會計系統有限公司 ,"455,625.00",17
,,,
AIM TALENT MANAGEMENT LIMITED ,,"627,660.00",24
,,,
AIM WIDER TRADING COMPANY LIMITED ,懷志貿易有限公司 ,"27,000.00",1
,,,
AIMEE YEE & CO. LIMITED ,,"167,043.00",8
,,,
AIMEX LIMITED ,,"22,500.00",1
,,,
AIMHIGHER CONSULTANCY LIMITED ,,"451,101.00",18
,,,
AIMS INTEGRATED MEDICAL CENTRE LIMITED ,雅士綜合治療中心有限公司,"27,000.00",1
,,,
AIMS INTERNATIONAL (TECHNOLOGY) CO LTD ,智達國際(工程)有限公司 ,"26,250.00",1
,,,
AINA HONG KONG CO LIMITED ,,"128,250.00",7
,,,
AIR CONRAD TRAVEL LIMITED ,康瀛旅遊有限公司 ,"70,974.00",3
,,,
AIR GATE LOGISTICS (HONG KONG) COMPANY LIMITED ,亞基物流(香港)有限公司 ,"19,500.00",4
,,,
AIR INTERFACE LIMITED ,越界有限公司 ,"81,000.00",3
,,,
AIR SHUTTLE LOGISTIC LIMITED ,華高翔物流有限公司 ,"135,000.00",5
,,,
AIR TIGER LOGISTICS (HK) LIMITED ,天虎貨運(香港)有限公司 ,"782,472.00",29
,,,
AIRBUS SECURE LAND COMMUNICATIONS LIMITED ,,"297,000.00",11
,,,
AIRLINK ASIA LTD ,凌科亞洲有限公司 ,"27,000.00",1
,,,
AIRTECH M&E HK LIMITED ,,"513,000.00",17
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
AIRTEK LIMITED ,,"459,141.00",16
,,,
AIRY GELATO HONG KONG LIMITED ,,"73,950.00",5
,,,
AITED INTERNATIONAL CO. LIMITED ,艾泰德國際(香港)有限公司 ,"140,400.00",6
,,,
AITHER ENTERTAINMENT LIMITED ,天明娛樂有限公司 ,"848,250.00",34
,,,
AJ ASSET MANAGEMENT LIMITED ,安捷資產管理有限公司 ,"54,000.00",2
,,,
AJ MILES MEDIA & PRODUCTION LTD ,浬程制作有限公司 ,"27,000.00",1
,,,
AJAL (HK) LIMITED ,,"27,000.00",1
,,,
A‐JEX INVESTMENT LIMITED ,愛建(香港)有限公司 ,"81,000.00",3
,,,
AJI ICHIBAN COMPANY LIMITED ,優之良品有限公司 ,"5,761,797.00",206
,,,
AJI ICHIBAN DEVELOPMENT LIMITED ,優之良品發展有限公司 ,"401,184.00",18
,,,
AJIA PRODUCTION LIMITED ,,"27,000.00",1
,,,
AJING LIMITED ,,"74,250.00",3
,,,
"AJIS (HONG KONG) CO., LIMITED ",愛捷是(香港)有限公司 ,"843,726.00",110
,,,
AJS AVIATION COMPANY LIMITED ,,"27,000.00",1
,,,
AK MARKETING & TRADING COMPANY LIMITED ,,"290,391.00",11
,,,
AK SOURCING LTD ,,"64,200.00",3
,,,
AKA COATING COMPANY LIMITED ,澳嘉塗料有限公司 ,"259,500.00",13
,,,
AKA SUSHI SASHIMI SPECIALTY SHOP ,赤壽司刺身專門店 ,"66,750.00",3
,,,
AKADEMIA TUITION LIMITED ,,"93,000.00",4
,,,
AKANE INTERNATIONAL LIMITED ,赤羽國際有限公司 ,"69,000.00",3
,,,
AKASHI EXPORTS LIMITED ,,"117,000.00",5
,,,
AKAYA LIMITED ,,"992,514.00",33
,,,
AKI CORPORATE SERVICES LIMITED ,,"3,060.00",1
,,,
AKINO HK LTD ,,"27,000.00",4
,,,
AKITA COMPUTER (H.K.)LTD. ,秋田電腦(香港)有限公司 ,"209,040.00",10
,,,
AKM INDUSTRIAL COMPANY LIMITED ,安捷利實業有限公司 ,"27,000.00",1
,,,
AKN MEDIA AND LEATHER COMPANY LIMITED ,,"27,000.00",1
,,,
AKON DEVELOPMENT LIMITED ,毅光發展有限公司 ,"27,000.00",1
,,,
AKQ HOLIDAYS LIMITED ,洋日假期有限公司 ,"48,255.00",5
,,,
AKTIS CAPITAL ADVISORY LIMITED ,瀚曦投資咨詢有限公司 ,"270,000.00",10
,,,
AL CAPITAL LIMITED ,,"54,000.00",2
,,,
AL GROUP LIMITED ,利駿集團(香港)有限公司 ,"108,000.00",5
,,,
AL MANAGEMENT SERVICES LIMITED ,中聯企管有限公司 ,"27,000.00",1
,,,
AL TRAVEL LIMITED ,天海旅行社有限公司 ,"180,000.00",7
,,,
ALANEASY A A SERVICES LIMITED ,天誠會計事務所有限公司 ,"27,000.00",1
,,,
ALASTICA LIMITED ,香港盛盛材料有限公司 ,"27,000.00",2
,,,
ALATAS HONG KONG LIMITED ,,"328,365.00",13
,,,
ALBA GROUP ASIA LIMITED ,,"189,000.00",7
,,,
ALBERT AU & COMPANY ,,"16,500.00",1
,,,
ALBERT'S ENGINEERING (HONG KONG) LIMITED ,利信工程(香港)有限公司 ,"22,500.00",1
,,,
ALCA & CO. LIMITED ,,"81,000.00",3
,,,
ALCHEMIST CREATIONS COMPANY LIMITED ,,"39,750.00",3
,,,
ALCHEMY ADVERTISING LIMITED ,,"45,000.00",2
,,,
ALCHEMY BEAUTY LIMITED ,艾卡美減肥美容有限公司 ,"1,005,153.00",40
,,,
ALCHINO INTERNATIONAL LTD ,意源國際有限公司 ,"77,250.00",3
,,,
ALCON TECHNOLOGY CO LTD ,創益科技有限公司 ,"93,000.00",4
,,,
ALDWORTH MANAGEMENT LIMITED ,,"27,000.00",2
,,,
ALE & CO. ,奧利會計師事務所 ,"54,000.00",2
,,,
ALE (CPA) LIMITED ,奧利會計師行有限公司 ,"54,000.00",2
,,,
ALE CORPORATE SERVICES LIMITED ,奧利企業服務有限公司 ,"129,000.00",5
,,,
ALEPHOSON BIOPHARMACEUTICALS LTD ,奧朗生物醫藥有限公司 ,"54,000.00",2
,,,
ALES GROUP ASIA LIMITED ,,"370,233.00",12
,,,
ALETA PLANET HK COMPANY LIMITED ,,"54,000.00",2
,,,
ALETHEIA CAPITAL (HONG KONG) LIMITED ,,"324,000.00",11
,,,
"ALEX CHUNG & COMPANY, C.P.A. ",鍾卓明會計師事務所 ,"72,750.00",3
,,,
ALEX PIG LIMITED ,,"25,500.00",3
,,,
ALEX PUBLICATION ,亞力士廣告印刷專門店 ,"177,897.00",7
,,,
ALEXANDER STATIONERY CENTRE ,歷山文儀中心 ,"146,100.00",6
,,,
ALEXANDER WAN & CO ,温萬樂會計師事務所 ,"27,000.00",1
,,,
ALEXANDER WONG ARCHITECTS LIMITED ,王士維建築師事務所有限公司,"240,129.00",10
,,,
ALF RETAIL HONG KONG LIMITED ,,"14,582,262.00",849
,,,
ALFA GLORY INDUSTRIES LIMITED ,世潤實業有限公司 ,"18,000.00",1
,,,
ALFABEST LTD ,愛發寶有限公司 ,"270,000.00",10
,,,
ALFRED HO & CO. ,何祐康會計師事務所 ,"81,000.00",3
,,,
ALFRED K WONG & CO ,王季鈞會計師行 ,"54,000.00",2
,,,
ALFRED SUNG & CO. ,宋理明會計師行 ,"162,000.00",6
,,,
ALGORDANZA LIMITED ,,"27,000.00",1
,,,
ALI OLI KITCHEN LIMITED ,,"177,507.00",7
,,,
ALIBABA HOLIDAY LIMITED ,阿里巴巴假期有限公司 ,"54,000.00",3
,,,
ALIK PROMOTION LIMITED ,阿力推廣製作有限公司 ,"15,000.00",1
,,,
ALISON ASIA PACIFIC LIMITED ,埃力生亞太有限公司 ,"54,000.00",2
,,,
ALK‐ABELLO A/S ,,"27,000.00",1
,,,
ALL ARTS AUCTIONEERS LIMITED ,普藝拍賣有限公司 ,"418,995.00",17
,,,
ALL ASIA TRADING CO. ,,"46,833.00",4
,,,
ALL EASY LIMITED ,,"54,000.00",2
,,,
ALL ELITE MEDICAL CLINIC LIMITED ,全彥醫療診所有限公司 ,"80,250.00",3
,,,
ALL FORTUNE INVESTMENT LIMITED ,同福投資有限公司 ,"22,500.00",1
,,,
ALL GOOD MANUFACTORY LIMITED ,同佳製品有限公司 ,"92,400.00",4
,,,
ALL JOY INVESTMENT LIMITED ,,"27,000.00",1
,,,
ALL LOVE DIAMOND LIMITED ,完美愛鑽石(香港)有限公司 ,"19,500.00",1
,,,
ALL MARKET CONSULTING LIMITED ,,"10,500.00",1
,,,
ALL ONE TELECOM CO. LIMITED ,壹店通電訊有限公司 ,"30,000.00",2
,,,
ALL RIGHTS ENTERTAINMENT LIMITED ,,"27,000.00",1
,,,
ALL ROUND EDUCATION ACADEMY LIMITED ,,"240,171.00",11
,,,
ALL ROUND EDUCATION CENTRE CENTRAL LIMITED ,,"27,000.00",1
,,,
ALL TREND (CHINA) LIMITED ,全達(中國)有限公司 ,"135,000.00",4
,,,
ALL WAY (HK) LIMITED ,恒迅(香港)有公司 ,"93,000.00",4
,,,
ALL WELL (ASIA) LIMITED ,卓滙(亞洲)有限公司 ,"370,998.00",14
,,,
ALL WELL FAMILY PRACTICE ,,"54,000.00",2
,,,
ALL WINNER LIMITED ,毅榮興業有限公司 ,"81,000.00",3
,,,
ALLAN JEWELLERY COMPANY LIMITED ,華興珠寶有限公司 ,"96,750.00",4
,,,
ALLARD PARTNERS LIMITED ,全亞達投資有限公司 ,"369,975.00",14
,,,
ALLCOM EXCHANGE (H.K.) LIMITED ,,"42,000.00",2
,,,
ALLEGIANCE MEDICAL LIMITED ,,"81,000.00",3
,,,
ALLEGRO INTERNATIONAL LTD. ,雅利堡有限公司 ,"34,500.00",2
,,,
ALLEN OPTICAL CENTRE LIMITED ,雅倫眼鏡中心有限公司 ,"27,000.00",4
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
ALLESTON TRADING LIMITED ,,"71,700.00",5
,,,
ALLGAIN LAND ADMINISTRATORS COMPANY ,全堅土地行政師行 ,"68,400.00",3
,,,
ALLGANIC HEALTH LIMITED ,,"88,953.00",3
,,,
ALLIANCE ARCHITECTS LIMITED ,藝聯建築師有限公司 ,"189,000.00",7
,,,
ALLIANCE ASIA ENTERPRISES LIMITED ,聯盟亞洲企業有限公司 ,"49,500.00",2
,,,
ALLIANCE BUSINESS SERVICES LIMITED ,匯泰商業服務有限公司 ,"61,200.00",3
,,,
ALLIANCE CARPET COMPANY ,雅迪地毡公司 ,"27,000.00",1
,,,
ALLIANCE HANGERS (FAR EAST) LIMITED ,聯合衣架(遠東)有限公司 ,"81,000.00",3
,,,
ALLIANCE INTEGRATED SERVICES LIMITED ,領峰綜合服務有限公司 ,"162,000.00",6
,,,
ALLIANCE MEDICAL CENTRE LIMITED ,安匯醫務中心有限公司 ,"258,735.00",11
,,,
ALLIANCE OF EX‐MENTALLY ILL OF HONG KONG ,香港精神康復者聯盟 ,"55,500.00",3
,,,
ALLIANCE ONE SOLUTION LIMITED ,同想科技有限公司 ,"63,435.00",3
,,,
ALLIANCE PROGRESS COMPANY LIMITED ,協進商業服務有限公司 ,"34,500.00",2
,,,
ALLIANCE TELECOM LIMITED ,創匯電訊有限公司 ,"162,000.00",6
,,,
ALLIANCE TOOLING LTD ,聯進模具有限公司 ,"81,000.00",3
,,,
ALLIED ASIA INDUSTRIAL LIMITED ,聯東實業有限公司 ,"97,275.00",4
,,,
ALLIED BEST PROPERTIES LTD ,聯滙置業有限公司 ,"17,079.00",1
,,,
ALLIED BUS LIMITED ,聯合行巴士有限公司 ,"86,016.00",7
,,,
ALLIED CONTROL LIMITED ,聯治有限公司 ,"432,000.00",16
,,,
"ALLIED EXPRESS TRAVEL, LTD. ",,"93,000.00",4
,,,
ALLIED FAIR INDUSTRIAL LIMITED ,合豐實業有限公司 ,"81,000.00",3
,,,
ALLIED FAITH CAPITAL INVESTMENT LIMITED ,信聯創富有限公司 ,"15,000.00",1
,,,
ALLIED FRERES FINE WINE LIMITED ,明豐洋酒有限公司 ,"81,000.00",3
,,,
ALLIED FUND (HONG KONG) LIMITED ,聯昌(香港)有限公司 ,"135,000.00",5
,,,
ALLIED GLORY LIMITED ,統雅有限公司 ,"54,000.00",2
,,,
ALLIED GROUP CORPORATION LIMITED ,統會有限公司 ,"27,000.00",1
,,,
ALLIED JUMBO INVESTMENTS LIMITED ,悅眺投資有限公司 ,"34,500.00",4
,,,
ALLIED MORAL LIMITED ,滙忠有限公司 ,"135,000.00",5
,,,
ALLIED SUCCESS CONSTRUCTION LTD ,聯城建築有限公司 ,"16,500.00",1
,,,
ALLIED TOP (HK) INDUSTRIAL LIMITED ,匯昇(香港)實業有限公司 ,"147,000.00",5
,,,
ALLIED WAY ASIA PACIFIC LIMITED ,匯安亞太有限公司 ,"24,000.00",1
,,,
ALLIED WAY SECURITY MANAGEMENT LIMITED ,滙安管理有限公司 ,"108,000.00",4
,,,
ALLIED WELL SHIPPING LTD ,集威船務有限公司 ,"269,415.00",21
,,,
ALLINNONE LIMITED ,,"24,000.00",1
,,,
ALLISDONE LIMITED ,,"54,000.00",2
,,,
ALLITES INDUSTRIES COMPANY LIMITED ,宏家企業有限公司 ,"114,600.00",5
,,,
ALL‐MIGHT INTERNATIONAL COMPANY LIMITED ,十賢國際有限公司 ,"67,500.00",3
,,,
ALLOY METAL MANUFACTORY LIMITED ,雅來金屬製品廠有限公司 ,"51,900.00",3
,,,
ALLOY TEMPTATION JEWELLERY COMPANY ,金屬魅力飾品公司 ,"27,000.00",1
,,,
ALLPOWER INDUSTRY (INTERNATIONAL) LIMITED ,得電(國際)有限公司 ,"57,000.00",3
,,,
ALL'S WELL MEDIA COMPANY LTD ,,"435,294.00",17
,,,
ALLSOR TECHNOLOGY LIMITED ,瀚碩科技有限公司 ,"60,000.00",3
,,,
ALLTEK ENTERPRISE COMPANY LIMITED ,合碩企業有限公司 ,"65,322.00",3
,,,
ALLTEX DEVELOPMENT LIMITED ,明大發展有限公司 ,"150,750.00",7
,,,
ALLTEX TEXTILE COMPANY LTD. ,全匯紡織有限公司 ,"79,500.00",4
,,,
ALLWAY PROPERTY LTD ,荃威地產有限公司 ,"27,000.00",1
,,,
ALLWAYS SHIPPING CO LTD ,威恆船務有限公司 ,"108,000.00",4
,,,
ALLWIN EMPLOYMENT CENTRE LTD. ,百喜僱傭中心有限公司 ,"15,000.00",1
,,,
ALLWIN PROPERTIES LIMITED ,眾成地產有限公司 ,"7,500.00",1
,,,
ALLWINS.COM LIMITED ,鑄博共贏商機圈有限公司 ,"497,955.00",23
,,,
ALLYSTAR TECHNOLOGY CO. LIMITED ,華大北斗科技有限公司 ,"567,000.00",21
,,,
ALMIGHTY DIGITAL SOLUTIONS LIMITED ,金鑫科技國際有限公司 ,"22,500.00",1
,,,
ALOHA TRADING GROUP ,,"63,000.00",3
,,,
ALON CAPITAL LIMITED ,,"54,000.00",2
,,,
ALOT LIVING LIMITED ,雅樂生活有限公司 ,"241,440.00",10
,,,
ALPACIAN LIMITED ,訊安顧問有限公司 ,"81,000.00",3
,,,
ALPHA 2 HAIR SALON LIMITED ,,"13,050.00",1
,,,
