Employer name (English) / 僱主名稱 (英文) ,Employer name (Chinese) / 僱主名稱 (中文) ,Wage subsidy amount (June ‐ August 2020) / 工資補貼金額 (2020年6月至8月) ,Committed headcount under payroll / 
,,,
,,,承諾受薪僱員人數 
,,,
ACGT DNA‐LAB LIMITED ,基因化驗所有限公司 ,"297,597.00",10
,,,
ACHIEVE DEVELOPMENT LIMITED ,有為發展有限公司 ,"54,000.00",2
,,,
ACHIEVED (HK) COMPANY LIMITED ,雅哲(香港)有限公司 ,"27,000.00",1
,,,
ACHIEVER CORPORATE SERVICES LIMITED ,成達企業諮詢有限公司 ,"27,000.00",1
,,,
ACHIEVER ENGINEERING DEVELOPMENT COMPANY LIMITED ,立業工程發展有限公司 ,"102,000.00",4
,,,
ACHIEVER MOTION GROUP LIMITED ,非凡動力集團有限公司 ,"54,000.00",2
,,,
ACING DUO LIMITED ,,"6,795.00",2
,,,
ACJ VENTURES LIMITED ,,"118,500.00",5
,,,
ACK BUSINESS LIMITED ,中國(香港)俏計劃商學院有限公司 ,"53,031.00",2
,,,
ACK LIMITED ,,"6,030.00",1
,,,
ACKOTEC PLATING LIMITED ,品高電鍍有限公司 ,"405,000.00",15
,,,
A‐CLASS GREEN LIMITED ,高卡士綠色環保有限公司 ,"204,000.00",12
,,,
A‐CLUB TRADING LIMITED ,標準貿易有限公司 ,"289,800.00",12
,,,
ACM CONSULTING LIMITED ,亞洲企業管理顧問有限公司,"27,000.00",1
,,,
ACME LEARNING CENTRE LIMITED ,致臻研習社有限公司 ,"1,850,106.00",68
,,,
ACME MEDICAL LABORATORY LIMITED ,高端醫學化驗所有限公司 ,"137,757.00",9
,,,
ACME TECH CO. LTD. ,安迪拓展有限公司 ,"21,000.00",2
,,,
ACME TECHNICAL SERVICES LIMITED ,愛馬工程有限公司 ,"27,000.00",1
,,,
ACME UNIVERSAL DEVELOPMENT COMPANY ,鼎豐環球拓展公司 ,"151,005.00",8
,,,
ACON WORLDWIDE LOGISTICS COMPANY ,,"27,000.00",1
,,,
ACORN APPAREL (HK) LIMITED ,,"54,000.00",2
,,,
ACORN ASSET MANAGEMENT LIMITED ,鼎昇資產管理有限公司 ,"54,000.00",2
,,,
ACORN BUSINESSES SERVICES AND CONSULTANCY LIMITED ,樺美商業服務顧問有限公司,"35,250.00",2
,,,
ACORN INSURANCE BROKERS LIMITED ,幸福保險經紀有限公司 ,"27,000.00",1
,,,
ACP SERVICES LIMITED ,,"27,000.00",1
,,,
ACQUA MEDIA LIMITED ,,"243,000.00",9
,,,
ACRELEC ASIA LIMITED ,,"135,000.00",5
,,,
ACRO MERCHANDISE COMPANY ,華高貿易公司 ,"24,000.00",1
,,,
ACROGROWTH CONSULTING LIMITED ,,"78,750.00",3
,,,
ACROWELL LOGISTICS (HONG KONG) LIMITED ,前程物流(香港)有限公司 ,"234,150.00",8
,,,
ACRYNICE INDUSTRIES LIMITED ,雅佳利實業有限公司 ,"135,000.00",5
,,,
ACS TECH SYSTEM LIMITED ,安碩系統有限公司 ,"157,500.00",6
,,,
ACT GENOMICS (HONG KONG) LIMITED ,行動基因(香港)股份有限公司 ,"730,500.00",28
,,,
ACT PLUS EDUCATION FOUNDATION LIMITED ,樂言社教育基金有限公司 ,"561,750.00",23
,,,
ACT SOLUTIONS LIMITED ,,"619,500.00",26
,,,
ACTAX CONSULTANCY LIMITED ,雅迪秘書服務有限公司 ,"27,000.00",1
,,,
ACTAX CONSULTING LIMITED ,才匯顧問有限公司 ,"27,000.00",1
,,,
ACTCO CORPORATE SERVICES LIMITED ,雅高會計事務有限公司 ,"124,134.00",5
,,,
ACTEL LIMITED ,,"54,000.00",2
,,,
ACTION CATERING HK LIMITED ,,"54,000.00",2
,,,
ACTION DESIGN & PRODUCTION LIMITED ,安信設計制作有限公司 ,"237,000.00",8
,,,
ACTION DEVELOPMENT HOLDING LIMITED ,,"100,500.00",4
,,,
ACTION FAITH TRADING COMPANY LIMITED ,順輝貿易有限公司 ,"49,500.00",2
,,,
ACTION INTERNATIONAL DEVELOPMENT COMPANY ,動力國際實業發展公司 ,"10,620.00",1
,,,
ACTION MOTOR (HK) LTD ,歷迅汽車(香港)有限公司 ,"79,500.00",4
,,,
ACTION MOTOR LTD ,歷迅汽車有限公司 ,"432,000.00",16
,,,
ACTION P (INTERNATIONAL) LIMITED ,傳藝(國際)有限公司 ,"108,000.00",4
,,,
ACTION SPORTS FOUNDATION LIMITED ,善行體育基金有限公司 ,"17,850.00",1
,,,
"ACTION TECHNOLOGY (HONGKONG) CO.,LTD ",安興科技(香港)有限公司 ,"125,700.00",6
,,,
ACTION TREND LIMITED ,友升有限公司 ,"72,000.00",3
,,,
ACTION WIN INDUSTRIES LIMITED ,望榮實業有限公司 ,"54,000.00",2
,,,
ACTIONS TECHNOLOGY (HK) COMPANY LIMITED ,炬力科技(香港)有限公司 ,"108,000.00",4
,,,
ACTIVE COMMUNICATION LIMITED ,奮進傳達有限公司 ,"81,000.00",3
,,,
ACTIVE DISTRIBUTION LIMITED ,恆盛集團股份有限公司 ,"159,750.00",6
,,,
ACTIVE E‐SOLUTION LIMITED ,毅達訊數碼方案有限公司 ,"271,578.00",11
,,,
ACTIVE GLOBAL SPECIALISED CAREGIVERS (HONG KONG) PTE LIMITED ,活力國際專業護理有限公司,"273,180.00",11
,,,
ACTIVE GREEN GARDEN ,綠林園藝 ,"42,750.00",3
,,,
ACTIVE PARTNERS LIMITED ,進士商事有限公司 ,"27,000.00",1
,,,
ACTIVECAREMEDICS LIMITED ,明心醫務中心有限公司 ,"79,500.00",5
,,,
ACTIVECAREPHARMACY LIMITED ,明心大藥房有限公司 ,"726,198.00",37
,,,
ACTIVO HEALTH (HK) LIMITED ,雋康醫療有限公司 ,"27,000.00",1
,,,
ACTMEDIA HOLDINGS (HONG KONG) CO. LIMITED ,,"938,439.00",43
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
ACTORS' FAMILY (HONG KONG) LIMITED ,演戲家族(香港)有限公司 ,"138,450.00",6
,,,
ACTRONTEK INTERNATIONAL COMPANY LIMITED ,艾創特國際有限公司 ,"81,000.00",3
,,,
ACTUAL CONCEPT LIMITED ,實念有限公司 ,"162,000.00",6
,,,
ACUMEN ASIA LIMITED ,首智亞洲有限公司 ,"27,000.00",1
,,,
ACUMEN COMPANY LIMITED ,雅喬有限公司 ,"406,434.00",16
,,,
ACUMEN PAPER (HK) LIMITED ,花紋紙業香港有限公司 ,"270,000.00",10
,,,
ACUMEN X LIMITED ,,"27,000.00",1
,,,
ACUTE RESULT LIMITED ,凱忻有限公司 ,"27,000.00",1
,,,
ACYUTA (HK) LIMITED ,,"27,000.00",1
,,,
AD DESIGN & CONTRACTING LIMITED ,紀研設計有限公司 ,"162,000.00",6
